input_identifier,resolved_identifier,record_type,name,latitude_dd,longitude_dd,country,state,city,source_dataset,nasr_cycle_date,appears_in,source_url,notes
AARNN,AARNN,Fix / reporting point / waypoint,,36.378775,-78.01779166,US,NC,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
ABI,ABI,Airport / landing facility,ABILENE RGNL,32.41133333,-99.68188888,US,TX,ABILENE,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
ABI,ABI,Navigation aid,ABILENE,32.48133058,-99.86345369,US,TX,ABILENE,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
ALS,ALS,Airport / landing facility,SAN LUIS VALLEY RGNL/BERGMAN FLD,37.435125,-105.86787527,US,CO,ALAMOSA,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
ALS,ALS,Navigation aid,ALAMOSA,37.34915894,-105.81553269,US,CO,ALAMOSA,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VORTAC; status=OPERATIONAL_RESTRICTED
ALWZZ,ALWZZ,Fix / reporting point / waypoint,,34.70080555,-79.41015833,US,NC,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH"
AMG,AMG,Airport / landing facility,BACON COUNTY,31.53605777,-82.50655333,US,GA,ALMA,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
AMG,AMG,Navigation aid,ALMA,31.536555,-82.5080888,US,GA,ALMA,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=TACAN; status=OPERATIONAL_RESTRICTED
ANNEY,ANNEY,Fix / reporting point / waypoint,,26.46565833,-80.04945555,US,FL,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,chartTypes=NOT REQUIRED
ARD,ARD,Navigation aid,YARDLEY,40.25334247,-74.90761238,US,PA,YARDLEY,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
ATL,ATL,Airport / landing facility,HARTSFIELD/JACKSON ATLANTA INTL,33.63669961,-84.427864,US,GA,ATLANTA,APT,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,
ATR,ATR,Navigation aid,WATERLOO,38.80981022,-75.21132236,US,DE,WATERLOO,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
AVE,AVE,Navigation aid,AVENAL,35.64697555,-119.97860555,US,CA,AVENAL,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_RESTRICTED
BAAMF,BAAMF,Fix / reporting point / waypoint,,30.67032777,-82.31735277,US,GA,,FIX,2026-06-11,FAA-mined route text,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,STAR"
BAE,BAE,Navigation aid,BADGER,43.11685325,-88.28434405,US,WI,MILWAUKEE,NAV,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,type=VOR/DME; status=OPERATIONAL_IFR
BAIRN,BAIRN,Fix / reporting point / waypoint,,27.94788055,-81.11509722,US,FL,,FIX,2026-06-11,Original user route list,https://www.faa.gov/air_traffic/flight_info/aeronav/Aero_Data/NASR_Subscription/2026-06-11/,"chartTypes=CONTROLLER HIGH,CONTROLLER LOW,ENROUTE HIGH,ENROUTE LOW,IAP,SECTIONAL,SID"
